"patient_id","B_cells","CD45","Cytotoxic_cells","DC","Exhausted_CD8","Macrophages","Mast_cells","Neutrophils","Mature_NK","NK_cells","T_cells","Th1_cells","Treg","CD8_T_cells","CD4_T_cells","cohort"
"MB-0000",5.59726666666667,5.3287,6.46128,7.3431,6.339875,6.7262,7.50795,6.51512857142857,5.36406666666667,5.51395,6.152,5.7205,5.3813,5.93435,0.21765,"metabric"
"MB-0002",5.57293333333333,5.4267,5.85566,5.5865,5.69115,6.037975,7.346225,6.08612857142857,5.61526666666667,5.3937,6.05506666666667,6.0409,5.2767,5.6947,0.360366666666667,"metabric"
"MB-0005",5.47595555555556,5.7099,6.04352,5.96413333333333,6.2122,7.68245,8.585425,6.41071428571429,5.57693333333333,5.40585,5.96048333333333,5.726,5.5331,5.80835,0.152133333333333,"metabric"
"MB-0006",5.5794,5.7007,6.56145,6.17973333333333,6.407125,7.557925,6.764225,6.34914285714286,5.64573333333333,5.3706,6.39748333333333,5.8372,5.4688,6.3823,0.0151833333333338,"metabric"
"MB-0008",5.65855555555556,6.0193,6.50214,6.4503,6.3279,7.3766,8.60655,6.14882857142857,5.59286666666667,5.36495,6.20475,5.7485,5.7688,6.231,-0.0262499999999992,"metabric"
"MB-0010",5.34144444444444,5.8944,5.97661,6.18253333333333,6.293825,7.135925,5.88795,6.41127142857143,5.65103333333333,5.3566,6.06138333333333,5.7338,5.4905,6.0986,-0.0372166666666676,"metabric"
"MB-0014",5.6035,5.6047,6.53144,6.24053333333333,6.477225,7.673975,8.3005,6.45504285714286,5.4713,5.3583,6.48276666666667,5.7818,5.365,6.5188,-0.0360333333333331,"metabric"
"MB-0020",5.75747777777778,5.5282,6.33337,5.9622,6.419,6.570875,7.51335,6.0948,5.49683333333333,5.42895,6.21151666666667,5.9909,5.6752,6.0772,0.134316666666666,"metabric"
"MB-0022",6.29611111111111,6.2336,7.74676,7.64886666666667,7.4811,8.56435,7.652075,6.80488571428572,5.74956666666667,5.6681,7.88998333333333,5.9077,5.3764,7.48855,0.401433333333333,"metabric"
"MB-0028",5.41977777777778,5.2739,5.88925,5.7935,6.2004,6.534325,6.2909,6.36625714285714,5.6741,5.2743,6.212,5.7713,5.5315,5.8943,0.3177,"metabric"
